       wId wName                                          wCap        sId        nId
       223 Supplier#000000075 BRAZIL                      3150         75          2
       224 Supplier#000000075 SAUDI ARABIA                3150         75         20
       225 Supplier#000000075 GERMANY                     3150         75          7
       226 Supplier#000000076 IRAN                        2775         76         10
       227 Supplier#000000076 BRAZIL                      2775         76          2
       228 Supplier#000000076 EGYPT                       2775         76          4
       229 Supplier#000000077 EGYPT                       3201         77          4
       230 Supplier#000000077 KENYA                       3201         77         14
       231 Supplier#000000077 JORDAN                      3201         77         13
       232 Supplier#000000078 CANADA                      2946         78          3
       233 Supplier#000000078 IRAN                        2946         78         10
       234 Supplier#000000078 ETHIOPIA                    2946         78          5
       235 Supplier#000000079 IRAN                        2946         79         10
       236 Supplier#000000079 ARGENTINA                   2946         79          1
       237 Supplier#000000079 INDONESIA                   2946         79          9
       238 Supplier#000000080 EGYPT                       2550         80          4
       239 Supplier#000000080 BRAZIL                      2550         80          2
       240 Supplier#000000080 IRAN                        2550         80         10
       241 Supplier#000000081 ALGERIA                     2664         81          0
       242 Supplier#000000081 JAPAN                       2664         81         12
       243 Supplier#000000081 BRAZIL                      2664         81          2
       244 Supplier#000000082 CANADA                      3012         82          3
       245 Supplier#000000082 IRAN                        3012         82         10
       246 Supplier#000000082 MOZAMBIQUE                  3012         82         16
       247 Supplier#000000083 BRAZIL                      3024         83          2
       248 Supplier#000000083 EGYPT                       3024         83          4
       249 Supplier#000000083 INDONESIA                   3024         83          9
       250 Supplier#000000084 BRAZIL                      2970         84          2
       251 Supplier#000000084 MOROCCO                     2970         84         15
       252 Supplier#000000084 ALGERIA                     2970         84          0
       253 Supplier#000000085 JORDAN                      2634         85         13
       254 Supplier#000000085 UNITED KINGDOM              2634         85         23
       255 Supplier#000000085 JAPAN                       2634         85         12
       256 Supplier#000000086 EGYPT                       2889         86          4
       257 Supplier#000000086 MOROCCO                     2889         86         15
       258 Supplier#000000086 CANADA                      2889         86          3
       259 Supplier#000000087 EGYPT                       3171         87          4
       260 Supplier#000000087 SAUDI ARABIA                3171         87         20
       261 Supplier#000000087 VIETNAM                     3171         87         21
       262 Supplier#000000088 ALGERIA                     2628         88          0
       263 Supplier#000000088 VIETNAM                     2628         88         21
       264 Supplier#000000088 IRAN                        2628         88         10
       265 Supplier#000000089 ALGERIA                     2904         89          0
       266 Supplier#000000089 IRAN                        2904         89         10
       267 Supplier#000000089 MOZAMBIQUE                  2904         89         16
       268 Supplier#000000090 IRAN                        2787         90         10
       269 Supplier#000000090 MOROCCO                     2787         90         15
       270 Supplier#000000090 SAUDI ARABIA                2787         90         20
       271 Supplier#000000091 ALGERIA                     2544         91          0
       272 Supplier#000000091 KENYA                       2544         91         14
       273 Supplier#000000091 UNITED KINGDOM              2544         91         23
       274 Supplier#000000092 JAPAN                       2541         92         12
       275 Supplier#000000092 ALGERIA                     2541         92          0
       276 Supplier#000000092 ETHIOPIA                    2541         92          5
       277 Supplier#000000093 JORDAN                      2520         93         13
       278 Supplier#000000093 MOROCCO                     2520         93         15
       279 Supplier#000000093 EGYPT                       2520         93          4
       280 Supplier#000000094 BRAZIL                      2970         94          2
       281 Supplier#000000094 EGYPT                       2970         94          4
       282 Supplier#000000094 UNITED KINGDOM              2970         94         23
       283 Supplier#000000095 EGYPT                       2529         95          4
       284 Supplier#000000095 IRAN                        2529         95         10
       285 Supplier#000000095 CANADA                      2529         95          3
       286 Supplier#000000096 MOROCCO                     3081         96         15
       287 Supplier#000000096 CANADA                      3081         96          3
       288 Supplier#000000096 ALGERIA                     3081         96          0
       289 Supplier#000000097 BRAZIL                      2967         97          2
       290 Supplier#000000097 JAPAN                       2967         97         12
       291 Supplier#000000097 EGYPT                       2967         97          4
       292 Supplier#000000098 CANADA                      2808         98          3
       293 Supplier#000000098 IRAN                        2808         98         10
       294 Supplier#000000098 ALGERIA                     2808         98          0
       295 Supplier#000000099 INDONESIA                   3681         99          9
       296 Supplier#000000099 BRAZIL                      3681         99          2
       297 Supplier#000000099 MOROCCO                     3681         99         15
       298 Supplier#000000100 IRAN                        2811        100         10
       299 Supplier#000000100 JAPAN                       2811        100         12
       300 Supplier#000000100 VIETNAM                     2811        100         21
